Number Of Particles,Best Value
16,20.1194
16,20.0579
16,19.9271
16,20.1615
16,20.0978
16,20.2604
16,20.1662
16,20.2048
16,20.0457
16,19.9075
16,20.1417
16,20.077
16,19.9993
16,19.9524
16,20.0262
16,19.9331
16,19.9765
16,20.2943
16,20.0214
16,20.0799
#16
30,19.9462
30,19.9632
30,19.9079
30,19.9889
30,19.9641
30,20.214
30,19.8999
30,19.8583
30,20.0905
30,20.0714
30,20.0001
30,20.1752
30,20.0121
30,20.0223
30,20.086
30,19.9303
30,20.0589
30,20.1555
30,19.977
30,19.8672
#30
49,19.967
49,20.0492
49,19.9797
49,19.9936
49,19.9707
49,19.889
49,19.9461
49,20.1067
49,19.9053
49,19.9635
49,20.0443
49,19.9153
49,19.8914
49,19.9171
49,20.1051
49,19.9386
49,20.0784
49,19.9885
49,20.0594
49,20.0398
#49
